dataset,seed,method,k_ratio,precision
Photo,0,Betweenness,0.1,0.17397078353253653
Photo,1,Ours,0.01,0.0
Photo,1,PageRank,0.01,0.5333333333333333
Photo,1,Degree,0.01,0.7866666666666666
Photo,1,Betweenness,0.01,0.16
Photo,1,Ours,0.05,0.03723404255319149
Photo,1,PageRank,0.05,0.3670212765957447
Photo,1,Degree,0.05,0.5558510638297872
Photo,1,Betweenness,0.05,0.14361702127659576
Photo,1,Ours,0.1,0.10358565737051793
Photo,1,PageRank,0.1,0.351925630810093
Photo,1,Degree,0.1,0.5391766268260292
Photo,1,Betweenness,0.1,0.17397078353253653
Photo,2,Ours,0.01,0.0
Photo,2,PageRank,0.01,0.5333333333333333
Photo,2,Degree,0.01,0.7866666666666666
Photo,2,Betweenness,0.01,0.16
Photo,2,Ours,0.05,0.02925531914893617
Photo,2,PageRank,0.05,0.3670212765957447
Photo,2,Degree,0.05,0.5558510638297872
Photo,2,Betweenness,0.05,0.14361702127659576
Photo,2,Ours,0.1,0.10225763612217796
Photo,2,PageRank,0.1,0.351925630810093
Photo,2,Degree,0.1,0.5391766268260292
Photo,2,Betweenness,0.1,0.17397078353253653
Photo,3,Ours,0.01,0.0
Photo,3,PageRank,0.01,0.5333333333333333
Photo,3,Degree,0.01,0.7866666666666666
Photo,3,Betweenness,0.01,0.16
Photo,3,Ours,0.05,0.02925531914893617
Photo,3,PageRank,0.05,0.3670212765957447
Photo,3,Degree,0.05,0.5558510638297872
Photo,3,Betweenness,0.05,0.14361702127659576
Photo,3,Ours,0.1,0.09827357237715803
Photo,3,PageRank,0.1,0.351925630810093
Photo,3,Degree,0.1,0.5391766268260292
Photo,3,Betweenness,0.1,0.17397078353253653
Photo,4,Ours,0.01,0.0
Photo,4,PageRank,0.01,0.5333333333333333
Photo,4,Degree,0.01,0.7866666666666666
Photo,4,Betweenness,0.01,0.16
Photo,4,Ours,0.05,0.034574468085106384
Photo,4,PageRank,0.05,0.3670212765957447
Photo,4,Degree,0.05,0.5558510638297872
Photo,4,Betweenness,0.05,0.14361702127659576
Photo,4,Ours,0.1,0.10358565737051793
Photo,4,PageRank,0.1,0.351925630810093
Photo,4,Degree,0.1,0.5391766268260292
Photo,4,Betweenness,0.1,0.17397078353253653
CS,0,Ours,0.01,0.02185792349726776
CS,0,PageRank,0.01,0.5792349726775956
CS,0,Degree,0.01,0.7103825136612022
CS,0,Betweenness,0.01,0.33879781420765026
CS,0,Ours,0.05,0.05021834061135371
CS,0,PageRank,0.05,0.5796943231441049
CS,0,Degree,0.05,0.7248908296943232
CS,0,Betweenness,0.05,0.43231441048034935
CS,0,Ours,0.1,0.10038188761593017
CS,0,PageRank,0.1,0.6181123840698309
CS,0,Degree,0.1,0.7359519912711402
CS,0,Betweenness,0.1,0.5122749590834698
CS,1,Ours,0.01,0.01639344262295082
CS,1,PageRank,0.01,0.5792349726775956
CS,1,Degree,0.01,0.7103825136612022
CS,1,Betweenness,0.01,0.33879781420765026
CS,1,Ours,0.05,0.056768558951965066
CS,1,PageRank,0.05,0.5796943231441049
CS,1,Degree,0.05,0.7248908296943232
CS,1,Betweenness,0.05,0.43231441048034935
CS,1,Ours,0.1,0.09983633387888707
CS,1,PageRank,0.1,0.6181123840698309
CS,1,Degree,0.1,0.7359519912711402
CS,1,Betweenness,0.1,0.5122749590834698
CS,2,Ours,0.01,0.01639344262295082
CS,2,PageRank,0.01,0.5792349726775956
CS,2,Degree,0.01,0.7103825136612022
CS,2,Betweenness,0.01,0.33879781420765026
CS,2,Ours,0.05,0.05021834061135371
CS,2,PageRank,0.05,0.5796943231441049
CS,2,Degree,0.05,0.7248908296943232
CS,2,Betweenness,0.05,0.43231441048034935
CS,2,Ours,0.1,0.09983633387888707
CS,2,PageRank,0.1,0.6181123840698309
CS,2,Degree,0.1,0.7359519912711402
CS,2,Betweenness,0.1,0.5122749590834698
CS,3,Ours,0.01,0.01092896174863388
CS,3,PageRank,0.01,0.5792349726775956
CS,3,Degree,0.01,0.7103825136612022
CS,3,Betweenness,0.01,0.33879781420765026
CS,3,Ours,0.05,0.05349344978165939
CS,3,PageRank,0.05,0.5796943231441049
CS,3,Degree,0.05,0.7248908296943232
CS,3,Betweenness,0.05,0.43231441048034935
CS,3,Ours,0.1,0.10092744135297327
CS,3,PageRank,0.1,0.6181123840698309
CS,3,Degree,0.1,0.7359519912711402
CS,3,Betweenness,0.1,0.5122749590834698
CS,4,Ours,0.01,0.01092896174863388
CS,4,PageRank,0.01,0.5792349726775956
CS,4,Degree,0.01,0.7103825136612022
CS,4,Betweenness,0.01,0.33879781420765026
CS,4,Ours,0.05,0.04912663755458515
CS,4,PageRank,0.05,0.5796943231441049
CS,4,Degree,0.05,0.7248908296943232
CS,4,Betweenness,0.05,0.43231441048034935
CS,4,Ours,0.1,0.10038188761593017
CS,4,PageRank,0.1,0.6181123840698309
CS,4,Degree,0.1,0.7359519912711402
CS,4,Betweenness,0.1,0.5122749590834698
Physics,0,Ours,0.01,0.014534883720930232
Physics,0,PageRank,0.01,0.45058139534883723
Physics,0,Degree,0.01,0.7383720930232558
Physics,0,Betweenness,0.01,0.2180232558139535
Physics,0,Ours,0.05,0.055104408352668215
Physics,0,PageRank,0.05,0.4332946635730858
Physics,0,Degree,0.05,0.7233178654292344
Physics,0,Betweenness,0.05,0.30974477958236657
Physics,0,Ours,0.1,0.10292838503914178
Physics,0,PageRank,0.1,0.43200927805160916
Physics,0,Degree,0.1,0.7002029573789504
Physics,0,Betweenness,0.1,0.36242389098289357
Physics,1,Ours,0.01,0.014534883720930232
Physics,1,PageRank,0.01,0.45058139534883723
Physics,1,Degree,0.01,0.7383720930232558
Physics,1,Betweenness,0.01,0.2180232558139535
Physics,1,Ours,0.05,0.052204176334106726
Physics,1,PageRank,0.05,0.4332946635730858
Physics,1,Degree,0.05,0.7233178654292344
Physics,1,Betweenness,0.05,0.30974477958236657
Physics,1,Ours,0.1,0.10437808060307335
Physics,1,PageRank,0.1,0.43200927805160916
Physics,1,Degree,0.1,0.7002029573789504
Physics,1,Betweenness,0.1,0.36242389098289357
Physics,2,Ours,0.01,0.014534883720930232
Physics,2,PageRank,0.01,0.45058139534883723
Physics,2,Degree,0.01,0.7383720930232558
Physics,2,Betweenness,0.01,0.2180232558139535
Physics,2,Ours,0.05,0.05568445475638051
Physics,2,PageRank,0.05,0.4332946635730858
Physics,2,Degree,0.05,0.7233178654292344
Physics,2,Betweenness,0.05,0.30974477958236657
Physics,2,Ours,0.1,0.10292838503914178
Physics,2,PageRank,0.1,0.43200927805160916
Physics,2,Degree,0.1,0.7002029573789504
Physics,2,Betweenness,0.1,0.36242389098289357
Physics,3,Ours,0.01,0.014534883720930232
Physics,3,PageRank,0.01,0.45058139534883723
Physics,3,Degree,0.01,0.7383720930232558
Physics,3,Betweenness,0.01,0.2180232558139535
Physics,3,Ours,0.05,0.05278422273781903
Physics,3,PageRank,0.05,0.4332946635730858
Physics,3,Degree,0.05,0.7233178654292344
Physics,3,Betweenness,0.05,0.30974477958236657
Physics,3,Ours,0.1,0.10611771527979125
Physics,3,PageRank,0.1,0.43200927805160916
Physics,3,Degree,0.1,0.7002029573789504
Physics,3,Betweenness,0.1,0.36242389098289357
Physics,4,Ours,0.01,0.014534883720930232
Physics,4,PageRank,0.01,0.45058139534883723
Physics,4,Degree,0.01,0.7383720930232558
Physics,4,Betweenness,0.01,0.2180232558139535
Physics,4,Ours,0.05,0.058004640371229696
Physics,4,PageRank,0.05,0.4332946635730858
Physics,4,Degree,0.05,0.7233178654292344
Physics,4,Betweenness,0.05,0.30974477958236657
Physics,4,Ours,0.1,0.1052478979414323
Physics,4,PageRank,0.1,0.43200927805160916
Physics,4,Degree,0.1,0.7002029573789504
Physics,4,Betweenness,0.1,0.36242389098289357
