dataset,seed,method,beta_scale,ratio,Delta_I
Cora,0,Degree_Adaptive,1.1,0.05,0.532263657574484
Cora,0,Betweenness,1.1,0.05,0.4949908236477068
Cora,0,Betweenness_Adaptive,1.1,0.05,0.4868062240493203
Cora,1,Ours,1.1,0.05,0.027684880692849186
Cora,1,Ours_Adaptive,1.1,0.05,0.05438469810528638
Cora,1,PageRank,1.1,0.05,0.4796869888324964
Cora,1,PageRank_Adaptive,1.1,0.05,0.48676539292723
Cora,1,Degree,1.1,0.05,0.47988779462241793
Cora,1,Degree_Adaptive,1.1,0.05,0.47853408662484354
Cora,1,Betweenness,1.1,0.05,0.4205958034333033
Cora,1,Betweenness_Adaptive,1.1,0.05,0.4281204081975295
Cora,2,Ours,1.1,0.05,0.08305762141751388
Cora,2,Ours_Adaptive,1.1,0.05,0.07759843119461908
Cora,2,PageRank,1.1,0.05,0.4898774540981827
Cora,2,PageRank_Adaptive,1.1,0.05,0.48140835790967146
Cora,2,Degree,1.1,0.05,0.4792007735951307
Cora,2,Degree_Adaptive,1.1,0.05,0.4829737358781641
Cora,2,Betweenness,1.1,0.05,0.4381917207821386
Cora,2,Betweenness_Adaptive,1.1,0.05,0.4401781370948516
Cora,3,Ours,1.1,0.05,0.0715504555842238
Cora,3,Ours_Adaptive,1.1,0.05,0.05318278869922911
Cora,3,PageRank,1.1,0.05,0.5883179314437228
Cora,3,PageRank_Adaptive,1.1,0.05,0.5907363207636693
Cora,3,Degree,1.1,0.05,0.592481065986089
Cora,3,Degree_Adaptive,1.1,0.05,0.5903949423292305
Cora,3,Betweenness,1.1,0.05,0.5473360462243892
Cora,3,Betweenness_Adaptive,1.1,0.05,0.5419577586715514
Cora,4,Ours,1.1,0.05,0.03654157035048951
Cora,4,Ours_Adaptive,1.1,0.05,0.034124085304460754
Cora,4,PageRank,1.1,0.05,0.46426932014524336
Cora,4,PageRank_Adaptive,1.1,0.05,0.469411777370348
Cora,4,Degree,1.1,0.05,0.4736358774426692
Cora,4,Degree_Adaptive,1.1,0.05,0.47970183427778235
Cora,4,Betweenness,1.1,0.05,0.43728170462789406
Cora,4,Betweenness_Adaptive,1.1,0.05,0.43255064398079773
Cora,0,Ours,1.1,0.1,0.18676279206722202
Cora,0,Ours_Adaptive,1.1,0.1,0.16545349511806515
Cora,0,PageRank,1.1,0.1,0.5481682451999045
Cora,0,PageRank_Adaptive,1.1,0.1,0.5475632331444433
Cora,0,Degree,1.1,0.1,0.5520992009227053
Cora,0,Degree_Adaptive,1.1,0.1,0.5483856786512542
Cora,0,Betweenness,1.1,0.1,0.5013889912381119
Cora,0,Betweenness_Adaptive,1.1,0.1,0.5104252287653096
Cora,1,Ours,1.1,0.1,0.035197878529870934
Cora,1,Ours_Adaptive,1.1,0.1,0.08903597859453151
Cora,1,PageRank,1.1,0.1,0.5066272149589786
