dataset,seed,method,beta_scale,Delta_I
CiteSeer,2,Degree,2.0,0.9315643259894377
CiteSeer,2,Betweenness,2.0,0.8155278434115504
CiteSeer,3,Ours,2.0,0.20983544483611072
CiteSeer,3,PageRank,2.0,0.9525169785788842
CiteSeer,3,Degree,2.0,0.9596860472112143
CiteSeer,3,Betweenness,2.0,0.7925815958912239
CiteSeer,4,Ours,2.0,0.14957207444274034
CiteSeer,4,PageRank,2.0,0.9526510767225942
CiteSeer,4,Degree,2.0,0.9594456627935011
CiteSeer,4,Betweenness,2.0,0.7915442749904805
PubMed,0,Ours,0.8,0.1289184655797432
PubMed,0,PageRank,0.8,0.40435237792020295
PubMed,0,Degree,0.8,0.39632291417595517
PubMed,0,Betweenness,0.8,0.367226446529594
PubMed,1,Ours,0.8,0.17018372113451583
PubMed,1,PageRank,0.8,0.53903914943931
PubMed,1,Degree,0.8,0.5471410757680233
PubMed,1,Betweenness,0.8,0.5043317211569385
PubMed,2,Ours,0.8,0.03178281912715925
PubMed,2,PageRank,0.8,0.4826803540713493
PubMed,2,Degree,0.8,0.4836098793256938
PubMed,2,Betweenness,0.8,0.45890484092506706
PubMed,3,Ours,0.8,-0.0005049174789119558
PubMed,3,PageRank,0.8,0.5262412629429193
PubMed,3,Degree,0.8,0.539553948785758
PubMed,3,Betweenness,0.8,0.474339654608207
PubMed,4,Ours,0.8,0.12936041866007705
PubMed,4,PageRank,0.8,0.4352745270169234
PubMed,4,Degree,0.8,0.4324920692759815
PubMed,4,Betweenness,0.8,0.42408153393000486
PubMed,0,Ours,0.9,0.18557302715878188
PubMed,0,PageRank,0.9,0.5706997018603573
PubMed,0,Degree,0.9,0.5737323078209106
PubMed,0,Betweenness,0.9,0.5353762154617817
PubMed,1,Ours,0.9,0.09911703949465692
PubMed,1,PageRank,0.9,0.7090043229544558
PubMed,1,Degree,0.9,0.7200873280656956
PubMed,1,Betweenness,0.9,0.6751638778783837
PubMed,2,Ours,0.9,0.0785799065194151
PubMed,2,PageRank,0.9,0.6921775077597051
PubMed,2,Degree,0.9,0.6938883996868723
PubMed,2,Betweenness,0.9,0.674740556149133
PubMed,3,Ours,0.9,0.1266124241819903
PubMed,3,PageRank,0.9,0.7288705231912243
PubMed,3,Degree,0.9,0.7348692772369272
PubMed,3,Betweenness,0.9,0.6866955896597359
PubMed,4,Ours,0.9,0.1456168906451051
PubMed,4,PageRank,0.9,0.6515305598808506
PubMed,4,Degree,0.9,0.6523349249115722
PubMed,4,Betweenness,0.9,0.6401955995595917
PubMed,0,Ours,1.0,0.28377708970041654
PubMed,0,PageRank,1.0,0.7675252646994026
PubMed,0,Degree,1.0,0.7666561073007904
PubMed,0,Betweenness,1.0,0.7408591572945601
PubMed,1,Ours,1.0,0.21176793510313557
PubMed,1,PageRank,1.0,0.852425805124429
PubMed,1,Degree,1.0,0.8584244107584349
PubMed,1,Betweenness,1.0,0.829864193375336
PubMed,2,Ours,1.0,0.07408318292658343
PubMed,2,PageRank,1.0,0.8392617051578897
PubMed,2,Degree,1.0,0.8428460871684688
PubMed,2,Betweenness,1.0,0.8287617174199873
PubMed,3,Ours,1.0,0.1647393764567597
PubMed,3,PageRank,1.0,0.8633371235535767
PubMed,3,Degree,1.0,0.867845601566615
PubMed,3,Betweenness,1.0,0.8358371197839887
PubMed,4,Ours,1.0,0.1833955301706606
PubMed,4,PageRank,1.0,0.79805707070502
PubMed,4,Degree,1.0,0.8008020411597693
PubMed,4,Betweenness,1.0,0.7879570589582879
PubMed,0,Ours,1.1,0.3926103269251665
PubMed,0,PageRank,1.1,0.8823856602257896
PubMed,0,Degree,1.1,0.8845876493419754
PubMed,0,Betweenness,1.1,0.8654875901204919
PubMed,1,Ours,1.1,0.12234822399199247
PubMed,1,PageRank,1.1,0.9150937411309071
PubMed,1,Degree,1.1,0.9214276083188354
PubMed,1,Betweenness,1.1,0.8967705903303651
PubMed,2,Ours,1.1,0.26428093994976687
PubMed,2,PageRank,1.1,0.9227192628343454
PubMed,2,Degree,1.1,0.9239731346172172
PubMed,2,Betweenness,1.1,0.9121105475225166
PubMed,3,Ours,1.1,0.1013298700143817
PubMed,3,PageRank,1.1,0.9268423870387685
PubMed,3,Degree,1.1,0.9307498311402914
PubMed,3,Betweenness,1.1,0.9056752353259301
PubMed,4,Ours,1.1,0.15995001204918136
PubMed,4,PageRank,1.1,0.8869493351391129
PubMed,4,Degree,1.1,0.889973141787554
PubMed,4,Betweenness,1.1,0.8810986350574412
PubMed,0,Ours,1.2,0.41014121058240255
PubMed,0,PageRank,1.2,0.9333314341450459
PubMed,0,Degree,1.2,0.9353816768711505
PubMed,0,Betweenness,1.2,0.9179717440354654
PubMed,1,Ours,1.2,0.30810674342930994
PubMed,1,PageRank,1.2,0.9562218594170967
PubMed,1,Degree,1.2,0.9595867685938992
