node,throughput_raw,delay_raw,loss_raw,txPackets,rxPackets,bytes_,uptime_ratio,degree_centrality,closeness,betweenness,clustering_coeff,k_shell,throughput,delay,loss,soft_label,run_split,mask,true_label
44,850.7469360269359,0.06090609024929,0.2208654318964104,12202,9507,6316796,1.0,0.0309278350515463,0.1515625,0.001042522487691,0.1333333333333333,4,29.16756652562801,0.9425904980572049,0.7791345681035896,0.3279087,val,0,0.3279087
45,1128.2429629629628,0.12675831803005,-0.2547787378894999,7638,9584,8377204,1.0,0.0257731958762886,0.1730597680642283,0.0020884755968351,0.0,4,33.58932812610224,0.8875017685676677,1.0,0.3601195,val,0,0.3601195
46,12.228417508417508,0.0024706128293241,0.8063227953410982,9015,1746,90796,1.0,0.0206185567010309,0.1718334809565987,0.0002982390541815,0.1666666666666666,4,3.4969155706733197,0.997535476055152,0.1936772046589018,0.15788507,val,0,0.15788507
47,406.2545454545454,0.6770551378446116,0.1039461020211742,6234,5586,3016440,1.0,0.0463917525773195,0.1754068716094032,0.0042023922519088,0.1666666666666666,4,20.1557571540874,0.5962833167699079,0.8960538979788258,0.27230978,val,0,0.27230978
48,774.4878114478114,0.1440730747611017,0.2678259080152279,9719,7116,5750572,1.0,0.0257731958762886,0.1724444444444444,0.0034602920893717,0.2,4,27.82962113374545,0.8740700415564047,0.7321740919847721,0.30327803,val,0,0.30327803
49,0.0,0.0,1.0,6981,0,0,1.0,0.0154639175257731,0.1712268314210061,0.0003739752404353,0.0,3,0.001,1.0,0.0,0.029044123,val,0,0.029044123
50,210.6494276094276,0.3591547663551402,0.7836810609736374,12366,2675,1564072,1.0,0.0257731958762886,0.1725978647686832,0.0024518067798341,0.1,4,14.513766864926128,0.735751383693934,0.2163189390263625,0.120659806,val,0,0.120659806
51,0.0,0.0,1.0,34951,0,0,1.0,0.0257731958762886,0.1947791164658634,0.0049234244202461,0.3,4,0.001,1.0,0.0,0.1816321,val,0,0.1816321
52,212.3652525252525,0.3437435040831478,0.6726609963547995,8230,2694,1576812,1.0,0.0257731958762886,0.1685490877497828,0.0007918948056536,0.2,4,14.572757238259769,0.7441896440513861,0.3273390036452005,0.1366417,val,0,0.1366417
53,0.0,0.0,1.0,6671,0,0,1.0,0.0206185567010309,0.1945837512537613,0.0005240486237762,0.3333333333333333,4,0.001,1.0,0.0,0.15944703,val,0,0.15944703
54,0.0,0.0,1.0,9605,0,0,1.0,0.0257731958762886,0.1682567215958369,0.0007966607400398,0.1,4,0.001,1.0,0.0,0.13161443,val,0,0.13161443
55,529.3457239057238,0.2856146818923328,0.8424326547398725,38904,6130,3930392,1.0,0.0463917525773195,0.1971544715447154,0.0129815046573316,0.1111111111111111,4,23.007514531250955,0.7778380366099051,0.1575673452601275,0.28912434,val,0,0.28912434
56,612.4035016835016,0.2723250523012552,0.5227159261108337,16024,7648,4547096,1.0,0.0206185567010309,0.2301304863582443,0.0240633131624531,0.1666666666666666,4,24.74678772454117,0.7859626737611581,0.4772840738891662,0.29607603,val,0,0.29607603
57,392.7466666666666,0.2618156565656566,0.9270507118608384,37999,2772,2916144,1.0,0.0309278350515463,0.1961577350859454,0.0048233328001474,0.0666666666666666,4,19.817837108692427,0.7925087906435931,0.0729492881391615,0.20042266,val,0,0.20042266
58,0.0,0.0,1.0,6054,0,0,1.0,0.0360824742268041,0.1691368788142981,0.0018345199305083,0.1428571428571428,4,0.001,1.0,0.0,0.17705089,val,0,0.17705089
59,276.7078787878788,0.3427066052227343,0.8106273635217687,10313,1953,2054556,1.0,0.0206185567010309,0.1675302245250431,0.0004919120353096,0.1666666666666666,4,16.634538760899826,0.7447643410036815,0.1893726364782313,0.10204921,val,0,0.10204921
60,578.0821548821548,1.2782883674377226,0.7545985481141859,36642,8992,4292260,1.0,0.0309278350515463,0.2317801672640382,0.0365686999401179,0.2666666666666666,4,24.043339116731577,0.4389260000149367,0.245401451885814,0.17843233,val,0,0.17843233
61,0.0,0.0,1.0,7168,0,0,1.0,0.0206185567010309,0.1941941941941942,0.0047851383877771,0.0,4,0.001,1.0,0.0,0.1475596,val,0,0.1475596
